"player_name","number"
"G Gambhir",15
"S Dhawan",13
"M Vijay",11
"Y Venugopal Rao",11
"P Kumar",10
"PA Patel",10
"YK Pathan",10
"A Mishra",9
"IK Pathan",9
"RG Sharma",9
"SK Raina",9
"AM Nayar",8
"AT Rayudu",8
"AM Rahane",7
"DPMD Jayawardene",7
"F du Plessis",7
"KD Karthik",7
"AB de Villiers",6
"DA Warner",6
"DJ Hussey",6
"EJG Morgan",6
"MS Dhoni",6
"R Dravid",6
"RV Uthappa",6
"SA Asnodkar",6
"SL Malinga",6
"SR Tendulkar",6
"SR Watson",6
"V Kohli",6
"V Sehwag",6
"CL White",5
"DJ Hooda",5
"Harbhajan Singh",5
"JH Kallis",5
"JP Duminy",5
"MK Pandey",5
"NV Ojha",5
"OA Shah",5
"PP Chawla",5
"R Bhatia",5
"SK Warne",5
"STR Binny",5
"WP Saha",5
"Yuvraj Singh",5
"A Symonds",4
"AR Patel",4
"BB McCullum",4
"FY Fazal",4
"GJ Bailey",4
"JA Morkel",4
"K Goel",4
"M Vohra",4
"MEK Hussey",4
"MS Bisla",4
"P Dogra",4
"PP Ojha",4
"R Ashwin",4
"R Sharma",4
"R Vinay Kumar",4
"RP Singh",4
"S Badrinath",4
"TM Dilshan",4
"VVS Laxman",4
"AA Jhunjhunwala",3
"AB Agarkar",3
"AD Mathews",3
"AD Russell",3
"AJ Finch",3
"Azhar Mahmood",3
"B Lee",3
"Bipul Sharma",3
"DR Smith",3
"DW Steyn",3
"HH Gibbs",3
"Ishan Kishan",3
"KA Pollard",3
"KM Jadhav",3
"L Ronchi",3
"MK Tiwary",3
"ML Hayden",3
"Mandeep Singh",3
"P Negi",3
"R Sathish",3
"RA Jadeja",3
"S Sohal",3
"SE Marsh",3
"SPD Smith",3
"SS Tiwary",3
"TL Suman",3
"WD Parnell",3
"A Ashish Reddy",2
"A Chopra",2
"AB Dinda",2
"AC Gilchrist",2
"AD Mascarenhas",2
"AS Raut",2
"B Kumar",2
"BJ Hodge",2
"C Munro",2
"CA Pujara",2
"CH Morris",2
"DA Miller",2
"DB Das",2
"DJ Bravo",2
"DL Vettori",2
"DS Kulkarni",2
"Gurkeerat Singh",2
"Harmeet Singh",2
"J Botha",2
"J Yadav",2
"JD Ryder",2
"JO Holder",2
"KC Sangakkara",2
"KP Pietersen",2
"KV Sharma",2
"Kamran Akmal",2
"L Balaji",2
"LA Carseldine",2
"LR Shukla",2
"LRPL Taylor",2
"M Kaif",2
"M Kartik",2
"M Manhas",2
"M Muralitharan",2
"MA Starc",2
"MD Mishra",2
"MF Maharoof",2
"MJ Lumb",2
"MM Patel",2
"MM Sharma",2
"MN Samuels",2
"MS Gony",2
"PD Collingwood",2
"R McLaren",2
"RJ Peterson",2
"RN ten Doeschate",2
"RR Pant",2
"S Nadeem",2
"SB Bangar",2
"SC Ganguly",2
"SM Katich",2
"SP Narine",2
"SV Samson",2
"Shakib Al Hasan",2
"TG Southee",2
"UT Khawaja",2
"VR Aaron",2
"WPUJC Vaas",2
"Z Khan",2
"A Kumble",1
"A Nehra",1
"A Nel",1
"AA Chavan",1
"AA Noffke",1
"AC Thomas",1
"AL Menaria",1
"AP Tare",1
"B Akhil",1
"BA Bhatt",1
"BB Samantray",1
"BCJ Cutting",1
"BMAJ Mendis",1
"C Nanda",1
"CH Gayle",1
"CJ Anderson",1
"CJ Ferguson",1
"CJ Jordan",1
"CM Gautam",1
"D Salunkhe",1
"DB Ravi Teja",1
"DH Yagnik",1
"DJ Harris",1
"DJ Muthuswami",1
"DJG Sammy",1
"DT Christian",1
"DT Patil",1
"GB Hogg",1
"GH Vihari",1
"H Das",1
"HM Amla",1
"HV Patel",1
"Imran Tahir",1
"Iqbal Abdulla",1
"J Arunkumar",1
"JE Taylor",1
"JR Hopes",1
"Joginder Sharma",1
"KH Pandya",1
"KK Nair",1
"KL Rahul",1
"KP Appanna",1
"LA Pomersbach",1
"LJ Wright",1
"M Morkel",1
"MC Henriques",1
"MC Juneja",1
"MJ Clarke",1
"MR Marsh",1
"MV Boucher",1
"Mohammad Asif",1
"NLTC Perera",1
"NM Coulter-Nile",1
"P Sahu",1
"PA Reddy",1
"PC Valthaty",1
"PJ Sangwan",1
"PV Tambe",1
"Q de Kock",1
"R Bishnoi",1
"R Dhawan",1
"RE van der Merwe",1
"RR Powar",1
"RR Sarwan",1
"RS Bopara",1
"RT Ponting",1
"S Gopal",1
"S Ladda",1
"S Sreesanth",1
"S Tyagi",1
"SA Abbott",1
"SB Joshi",1
"SB Wagh",1
"SD Chitnis",1
"SMSM Senanayake",1
"SN Khan",1
"SP Fleming",1
"SP Goswami",1
"SS Shaikh",1
"ST Jayasuriya",1
"Sachin Baby",1
"Shoaib Ahmed",1
"Sunny Singh",1
"T Henderson",1
"T Kohli",1
"T Taibu",1
"T Thushara",1
"TM Head",1
"Umar Gul",1
"VRV Singh",1
"VS Yeligati",1
"W Jaffer",1
"WA Mota",1
"Y Nagar",1
"A Chandila",0
"A Flintoff",0
"A Mithun",0
"A Mukund",0
"A Singh",0
"A Uniyal",0
"A Zampa",0
"AA Bilakhia",0
"AA Kazi",0
"AB Barath",0
"AB McDonald",0
"AC Blizzard",0
"AC Voges",0
"AD Nath",0
"AF Milne",0
"AG Murtaza",0
"AG Paunikar",0
"AM Salvi",0
"AN Ahmed",0
"AN Ghosh",0
"AP Dole",0
"AP Majumdar",0
"AS Rajpoot",0
"AUK Pathan",0
"Abdur Razzak",0
"Anand Rajan",0
"Anirudh Singh",0
"Ankit Sharma",0
"Anureet Singh",0
"B Chipli",0
"B Geeves",0
"B Laughlin",0
"B Sumanth",0
"BAW Mendis",0
"BB Sran",0
"BE Hendricks",0
"BJ Haddin",0
"BJ Rohrer",0
"BR Dunk",0
"BW Hilfenhaus",0
"C Ganapathy",0
"C Madan",0
"CA Ingram",0
"CA Lynn",0
"CJ McKay",0
"CK Kapugedera",0
"CK Langeveldt",0
"CR Brathwaite",0
"CRD Fernando",0
"D Kalyankrishna",0
"D Wiese",0
"D du Preez",0
"DAJ Bracewell",0
"DE Bollinger",0
"DJ Jacobs",0
"DJ Thornely",0
"DL Chahar",0
"DNT Zoysa",0
"DP Nannes",0
"DP Vijaykumar",0
"DR Martyn",0
"DS Lehmann",0
"ER Dwivedi",0
"F Behardien",0
"FH Edwards",0
"GC Smith",0
"GD McGrath",0
"GJ Maxwell",0
"GR Napier",0
"GS Sandhu",0
"Gagandeep Singh",0
"HH Pandya",0
"Harpreet Singh",0
"I Malhotra",0
"I Sharma",0
"IC Pandey",0
"IR Jaggi",0
"J Suchith",0
"J Syed Mohammad",0
"J Theron",0
"JC Buttler",0
"JD Unadkat",0
"JDP Oram",0
"JDS Neesham",0
"JEC Franklin",0
"JJ Bumrah",0
"JJ van der Wath",0
"JM Kemp",0
"JP Faulkner",0
"JW Hastings",0
"Jaskaran Singh",0
"K Santokie",0
"K Upadhyay",0
"KAJ Roach",0
"KB Arun Karthik",0
"KC Cariappa",0
"KH Devdhar",0
"KJ Abbott",0
"KK Cooper",0
"KMDN Kulasekara",0
"KS Williamson",0
"KW Richardson",0
"Kamran Khan",0
"Karanveer Singh",0
"Kuldeep Yadav",0
"L Ablish",0
"LMP Simmons",0
"LPC Silva",0
"M Ashwin",0
"M Klinger",0
"M Ntini",0
"M Rawat",0
"M de Lange",0
"MA Agarwal",0
"MA Khote",0
"MB Parmar",0
"MDKJ Perera",0
"MG Johnson",0
"MG Neser",0
"MJ Guptill",0
"MJ McClenaghan",0
"MN van Wyk",0
"MP Stoinis",0
"MS Wade",0
"Mashrafe Mortaza",0
"Misbah-ul-Haq",0
"Mohammad Ashraful",0
"Mohammad Hafeez",0
"Mohammed Shami",0
"Mustafizur Rahman",0
"N Rana",0
"N Saini",0
"ND Doshi",0
"NJ Maddinson",0
"NJ Rimmington",0
"NK Patel",0
"NL McCullum",0
"NS Naik",0
"P Amarnath",0
"P Awana",0
"P Dharmani",0
"P Parameswaran",0
"P Prasanth",0
"P Suyal",0
"PJ Cummins",0
"PM Sarvesh Kumar",0
"PR Shah",0
"PSP Handscomb",0
"Pankaj Singh",0
"Parvez Rasool",0
"R Ninan",0
"R Rampaul",0
"R Shukla",0
"R Tewatia",0
"RA Shaikh",0
"RE Levi",0
"RG More",0
"RJ Harris",0
"RJ Quiney",0
"RR Bhatkal",0
"RR Bose",0
"RR Raje",0
"RR Rossouw",0
"RS Gavaskar",0
"RS Sodhi",0
"RV Gomez",0
"RV Pawar",0
"RW Price",0
"S Anirudha",0
"S Aravind",0
"S Badree",0
"S Chanderpaul",0
"S Kaul",0
"S Kaushik",0
"S Narwal",0
"S Rana",0
"S Randiv",0
"S Sriram",0
"S Vidyut",0
"SA Yadav",0
"SB Jakati",0
"SB Styris",0
"SE Bond",0
"SJ Srivastava",0
"SK Trivedi",0
"SM Boland",0
"SM Harwood",0
"SM Pollock",0
"SN Thakur",0
"SS Iyer",0
"SS Mundhe",0
"SS Sarkar",0
"SW Billings",0
"SW Tait",0
"Salman Butt",0
"Sandeep Sharma",0
"Shahid Afridi",0
"Shivam Sharma",0
"Shoaib Akhtar",0
"Shoaib Malik",0
"Sohail Tanvir",0
"Sunny Gupta",0
"Swapnil Singh",0
"T Mishra",0
"T Shamsi",0
"TA Boult",0
"TD Paine",0
"TM Srivastava",0
"TP Sudhindra",0
"TR Birt",0
"U Kaul",0
"UA Birla",0
"UBT Chand",0
"UT Yadav",0
"V Pratap Singh",0
"V Shankar",0
"VH Zol",0
"VS Malik",0
"VY Mahesh",0
"X Thalaivan Sargunam",0
"Y Gnaneswara Rao",0
"YA Abdulla",0
"YS Chahal",0
"YV Takawale",0
"Yashpal Singh",0
"Younis Khan",0
