"player_name","runs_scored"
"SK Raina",4083
"V Kohli",3987
"RG Sharma",3874
"G Gambhir",3589
"RV Uthappa",3390
"CH Gayle",3356
"DA Warner",3339
"MS Dhoni",3270
"AB de Villiers",3161
"S Dhawan",3082
"YK Pathan",2719
"V Sehwag",2702
"AM Rahane",2529
"KD Karthik",2515
"M Vijay",2490
"SR Watson",2469
"BB McCullum",2431
"JH Kallis",2414
"SR Tendulkar",2329
"AT Rayudu",2325
"Yuvraj Singh",2281
"R Dravid",2170
"SE Marsh",2148
"DR Smith",2146
"AC Gilchrist",2069
"MEK Hussey",1977
"KA Pollard",1959
"JP Duminy",1926
"PA Patel",1868
"MK Pandey",1800
"DPMD Jayawardene",1771
"KC Sangakkara",1656
"NV Ojha",1466
"S Badrinath",1439
"DA Miller",1426
"BJ Hodge",1395
"MK Tiwary",1324
"DJ Hussey",1322
"AJ Finch",1304
"WP Saha",1304
"SC Ganguly",1303
"F du Plessis",1287
"DJ Bravo",1262
"SPD Smith",1212
"SS Tiwary",1205
"TM Dilshan",1154
"IK Pathan",1079
"ML Hayden",1074
"LRPL Taylor",1017
"SV Samson",1015
"KP Pietersen",1001
"Y Venugopal Rao",985
"A Symonds",974
"JA Morkel",962
"CL White",949
"LMP Simmons",942
"GJ Maxwell",917
"Mandeep Singh",897
"HH Gibbs",886
"KK Nair",842
"EJG Morgan",789
"MS Bisla",788
"Harbhajan Singh",783
"MA Agarwal",781
"ST Jayasuriya",768
"M Vohra",728
"GC Smith",724
"KL Rahul",713
"AD Mathews",691
"TL Suman",676
"GJ Bailey",663
"Q de Kock",657
"MC Henriques",648
"JD Ryder",604
"KM Jadhav",597
"AD Russell",574
"RS Bopara",530
"OA Shah",506
"PC Valthaty",496
"SA Yadav",472
"Shakib Al Hasan",468
"SS Iyer",449
"SA Asnodkar",423
"JR Hopes",417
"J Botha",409
"MV Boucher",394
"CA Pujara",390
"Azhar Mahmood",388
"CJ Anderson",379
"DB Ravi Teja",375
"S Sohal",368
"Gurkeerat Singh",342
"RN ten Doeschate",326
"AP Tare",321
"JEC Franklin",321
"LA Pomersbach",302
"UBT Chand",300
"DJG Sammy",295
"CH Morris",285
"VVS Laxman",282
"B Chipli",280
"MJ Lumb",278
"DJ Hooda",276
"SP Goswami",241
"KH Pandya",237
"SM Katich",237
"AA Jhunjhunwala",217
"PD Collingwood",203
"RR Pant",198
"Salman Butt",193
"BJ Rohrer",179
"MN van Wyk",167
"R McLaren",159
"HM Amla",157
"HH Pandya",156
"KS Williamson",155
"MP Stoinis",146
"S Vidyut",145
"N Saini",140
"S Anirudha",136
"W Jaffer",130
"Kamran Akmal",128
"BB Samantray",125
"NK Patel",121
"AC Blizzard",120
"N Rana",104
"RJ Quiney",97
"SW Billings",88
"RE Levi",83
