"match_id","venue"
335998,"MA Chidambaram Stadium Chepauk"
336002,"Eden Gardens"
336005,"Sawai Mansingh Stadium"
336008,"Punjab Cricket Association Stadium Mohali"
336026,"Wankhede Stadium"
336030,"Eden Gardens"
336032,"Eden Gardens"
392189,"Newlands"
392202,"St George's Park"
392204,"Kingsmead"
392208,"Buffalo Park"
392212,"St George's Park"
392216,"Kingsmead"
392224,"New Wanderers Stadium"
392226,"SuperSport Park"
392233,"New Wanderers Stadium"
419118,"Eden Gardens"
419123,"Sardar Patel Stadium Motera"
419127,"Brabourne Stadium"
419136,"Feroz Shah Kotla"
419144,"Eden Gardens"
419153,"M Chinnaswamy Stadium"
419158,"MA Chidambaram Stadium Chepauk"
501203,"MA Chidambaram Stadium Chepauk"
501224,"Eden Gardens"
501227,"Eden Gardens"
501247,"Nehru Stadium"
501260,"M Chinnaswamy Stadium"
501272,"Eden Gardens"
501274,"Wankhede Stadium"
548312,"Eden Gardens"
548317,"Sawai Mansingh Stadium"
548328,"Eden Gardens"
548368,"Eden Gardens"
548373,"Eden Gardens"
598010,"Sawai Mansingh Stadium"
598013,"M Chinnaswamy Stadium"
598021,"Punjab Cricket Association Stadium Mohali"
598027,"Eden Gardens"
598034,"Eden Gardens"
598039,"MA Chidambaram Stadium Chepauk"
598045,"Shaheed Veer Narayan Singh International Stadium"
598055,"Wankhede Stadium"
598066,"JSCA International Stadium Complex"
598074,"Rajiv Gandhi International Stadium Uppal"
729294,"Dubai International Cricket Stadium"
729312,"Sheikh Zayed Stadium"
733976,"JSCA International Stadium Complex"
733984,"Sardar Patel Stadium Motera"
829718,"Eden Gardens"
829748,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
829770,"MA Chidambaram Stadium Chepauk"
829776,"M Chinnaswamy Stadium"
829810,"Wankhede Stadium"
829816,"Brabourne Stadium"
980914,"Eden Gardens"
980952,"Wankhede Stadium"
980956,"Feroz Shah Kotla"
980980,"Eden Gardens"
981000,"Eden Gardens"
981006,"Green Park"
981020,"Feroz Shah Kotla"
