"match_id","toss_winner"
335988,3
335989,5
335990,7
335991,8
335992,4
335993,8
335998,1
336000,6
336001,3
336002,1
336005,5
336006,3
336007,8
336008,4
336010,3
336015,1
336019,1
336021,2
336022,1
336027,6
336030,1
336034,2
336038,5
336040,4
336042,8
336044,4
392187,2
392189,1
392190,3
392193,8
392194,6
392196,2
392197,8
392199,2
392200,4
392202,7
392203,6
392204,1
392205,4
392208,7
392209,2
392210,8
392212,1
392213,7
392214,3
392216,1
392217,8
392219,3
392220,7
392222,5
392223,7
392225,8
392227,4
392229,3
392230,5
392232,7
392235,6
392236,3
392237,6
392239,3
392241,2
419112,7
419115,8
419117,4
419118,3
419121,6
419123,5
419124,7
419125,8
419127,1
419131,8
419132,1
419134,5
419136,6
419138,2
419139,6
419140,1
419141,4
419142,3
419143,7
419144,1
419145,6
419146,5
419147,3
419148,4
419149,1
419151,7
419152,3
419154,6
419157,7
419158,1
419159,5
419160,3
419163,5
419165,8
419166,7
419167,7
419168,3
419169,8
419170,3
501203,3
501205,9
501206,6
501207,4
501208,1
501209,6
501212,9
501216,3
501221,8
501223,10
501233,10
501238,6
501241,3
501245,5
501250,3
501252,9
501253,4
501255,8
501258,3
501261,8
501265,4
501266,3
501268,7
501276,3
548318,10
548319,8
548323,2
548325,5
548326,8
548327,3
548329,5
548331,8
548332,10
548333,4
548334,8
548337,5
548339,7
548342,10
548344,4
548346,8
548348,4
548349,1
548350,6
548352,3
548353,8
548354,5
548356,7
548357,3
548358,1
548359,5
548362,6
548363,10
548368,7
548370,5
548371,8
548374,4
548378,5
548380,1
548382,5
548383,1
548386,3
598006,5
598007,7
598008,10
598011,7
598014,5
598015,6
598016,7
598018,1
598020,10
598024,5
598025,3
598026,4
598027,1
598029,7
598031,5
598034,1
598035,11
598036,4
598037,11
598038,7
598042,7
598043,3
598044,7
598045,1
598046,3
598047,2
598048,5
598049,6
598051,7
598052,10
598053,11
598054,6
598055,7
598058,1
598060,10
598065,11
598067,3
598070,11
598072,10
598074,1
598075,3
598076,11
598077,5
598078,7
729284,1
729288,3
729294,1
729298,3
729306,11
729308,7
729314,7
729316,11
733976,3
733978,4
733990,6
734004,2
734006,11
734008,5
734018,3
734020,11
734022,7
734026,2
829716,3
829726,7
829730,4
829734,7
829736,6
829740,3
829756,7
829758,3
829766,1
829780,7
829784,3
829788,6
829794,3
829796,4
829798,11
829800,2
829802,3
829804,11
829806,3
829812,11
829814,4
829816,5
829820,11
829822,7
829824,2
980906,7
980916,12
980920,11
980924,12
980942,2
980984,11
980990,7
980994,12
980996,4
981010,4
981024,11
