"match_id","team_1","team_2","winning_team_name","win_margin"
598051,"Mumbai Indians","Chennai Super Kings","Mumbai Indians",60
734016,"Rajasthan Royals","Delhi Daredevils","Rajasthan Royals",62
419143,"Mumbai Indians","Deccan Chargers","Mumbai Indians",63
501254,"Rajasthan Royals","Chennai Super Kings","Chennai Super Kings",63
336028,"Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals",65
598055,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",65
335996,"Kings XI Punjab","Mumbai Indians","Kings XI Punjab",66
419139,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils",67
829824,"Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore",71
729300,"Kings XI Punjab","Sunrisers Hyderabad","Kings XI Punjab",72
548316,"Deccan Chargers","Chennai Super Kings","Chennai Super Kings",74
392187,"Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore",75
501256,"Kings XI Punjab","Mumbai Indians","Kings XI Punjab",76
598056,"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings",77
392214,"Chennai Super Kings","Deccan Chargers","Chennai Super Kings",78
392215,"Kings XI Punjab","Rajasthan Royals","Rajasthan Royals",78
980998,"Mumbai Indians","Delhi Daredevils","Mumbai Indians",80
501269,"Kings XI Punjab","Deccan Chargers","Deccan Chargers",82
981004,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",82
501249,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",85
980978,"Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad",85
548385,"Delhi Daredevils","Chennai Super Kings","Chennai Super Kings",86
598025,"Delhi Daredevils","Chennai Super Kings","Chennai Super Kings",86
598024,"Rajasthan Royals","Mumbai Indians","Rajasthan Royals",87
392190,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings",92
392202,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",92
729298,"Chennai Super Kings","Delhi Daredevils","Chennai Super Kings",93
829758,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings",97
419119,"Delhi Daredevils","Mumbai Indians","Mumbai Indians",98
336043,"Delhi Daredevils","Rajasthan Royals","Rajasthan Royals",105
501265,"Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab",111
598032,"Royal Challengers Bangalore","Pune Warriors","Royal Challengers Bangalore",130
829790,"Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore",138
335987,"Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders",140
980992,"Royal Challengers Bangalore","Gujarat Lions","Royal Challengers Bangalore",144
