"player_name"
"A Mukund"
"AA Kazi"
"AG Murtaza"
"AL Menaria"
"AR Patel"
"Ankit Sharma"
"BA Bhatt"
"BB Sran"
"BE Hendricks"
"CJ Anderson"
"DA Miller"
"GS Sandhu"
"Harmeet Singh"
"Harpreet Singh"
"Iqbal Abdulla"
"Ishan Kishan"
"J Suchith"
"JDS Neesham"
"KH Pandya"
"Kamran Khan"
"Kuldeep Yadav"
"MA Starc"
"MDKJ Perera"
"Mustafizur Rahman"
"N Rana"
"NJ Maddinson"
"NLTC Perera"
"P Negi"
"PP Chawla"
"Q de Kock"
"R Tewatia"
"RA Jadeja"
"RR Pant"
"RR Rossouw"
"SB Wagh"
"SP Goswami"
"SP Narine"
"SS Tiwary"
"Sachin Baby"
"TM Head"
"TM Srivastava"
"VH Zol"
"WD Parnell"
