"match_id","total_runs"
335987,304
335988,447
335989,257
335990,331
335991,222
335992,334
335993,285
335994,410
335995,431
335996,298
335997,273
335998,299
335999,309
336000,320
336001,343
336002,275
336003,372
336004,331
336005,347
336006,341
336007,336
336008,347
336009,295
336010,219
336011,253
336012,292
336013,207
336014,375
336015,253
336016,281
336017,248
336018,344
336019,379
336020,315
336021,287
336022,243
336023,314
336024,401
336025,376
336026,135
336027,212
336028,329
336029,331
336030,204
336031,312
336032,297
336033,377
336034,238
336036,353
336037,355
336038,412
336039,309
336040,349
336041,291
336042,295
336043,279
336044,228
336045,327
392186,311
392187,191
392188,162
392189,205
392190,266
392191,237
392193,344
392194,369
392196,341
392197,324
392199,299
392200,251
392201,334
392202,282
392203,290
392204,282
392205,235
392206,298
392207,290
392208,287
392209,282
392210,283
392211,308
392212,307
392213,299
392214,278
392215,344
392216,311
392217,271
392218,212
392219,359
392220,234
392221,337
392222,281
392223,298
392224,248
392225,279
392226,349
392227,241
392228,334
392229,261
392230,288
392231,239
392232,298
392233,326
392234,267
392235,286
392236,377
392237,269
392238,203
392239,208
392240,331
392241,328
392242,307
392243,295
392244,280
419111,311
419112,420
419113,288
419114,271
419115,349
419116,283
419117,407
419118,273
419119,338
419120,185
419121,375
419122,334
419123,302
419124,306
419125,332
419127,311
419128,306
419129,335
419130,361
419131,299
419132,327
419133,349
419134,337
419135,303
419136,314
419137,327
419138,323
419139,309
419140,338
419141,365
419142,469
419143,293
419144,404
419145,331
419146,316
419147,306
419148,310
419149,348
419150,370
419151,312
419152,277
419153,322
419154,223
419155,311
419156,289
419157,326
419158,282
419159,262
419160,225
419161,352
419162,325
419163,265
419164,387
419165,279
419166,268
419167,333
419168,246
419169,168
419170,314
501203,304
501204,278
501205,323
501206,194
501207,225
501208,317
501209,303
501210,283
501211,381
501212,299
501213,317
501214,319
501215,366
501216,345
501217,331
501218,377
501219,166
501220,266
501221,320
501223,242
501224,258
501225,342
501226,320
501227,346
501228,433
501229,307
501230,216
501231,259
501232,321
501233,286
501234,203
501235,279
501236,189
501237,336
501238,276
501239,239
501240,287
501241,311
501242,295
501243,281
501244,318
501245,296
501246,299
501247,295
501248,354
501249,325
501250,175
501251,324
501252,253
501253,239
501254,329
501255,273
501256,250
501257,293
501258,334
501259,359
501260,194
501261,260
501262,307
501263,195
501264,274
501265,353
501266,293
501267,237
501268,267
501269,314
501271,257
501272,353
501273,352
501274,295
501275,327
501276,352
548311,227
548312,197
548313,224
548314,351
548315,294
548316,312
548317,306
548318,310
548319,280
548320,288
548321,221
548322,367
548323,413
548324,231
548325,268
548326,319
548327,311
548328,266
548329,331
548330,185
548331,393
548332,368
548333,251
548334,380
548335,315
548336,329
548337,293
548338,364
548339,326
548340,253
548341,332
548342,294
548344,339
548346,336
548347,377
548348,305
548349,333
548350,303
548351,201
548352,279
548353,359
548354,285
548355,321
548356,239
548357,310
548358,293
548359,311
548360,347
548361,366
548362,307
548363,251
548364,315
548365,283
548366,253
548367,311
548368,337
548369,229
548370,295
548371,384
548372,344
548373,318
548374,276
548375,248
548376,243
548377,409
548378,254
548379,286
548380,238
548381,249
548382,325
548383,306
548384,336
548385,358
548386,382
598003,257
598004,310
598005,230
598006,325
598007,287
598008,199
598010,269
598011,374
598012,277
598013,312
598014,293
598015,229
598016,325
598017,331
598018,312
598019,250
598020,294
598021,310
598023,227
598024,271
598025,252
598026,250
598027,243
598028,240
598029,322
598030,371
598031,371
598032,396
598033,335
598034,321
598035,319
598036,299
598037,290
598038,330
598039,386
598040,313
598041,344
598042,344
598043,291
598044,259
598045,273
598046,357
598047,357
598048,265
598049,161
598050,350
598051,218
598052,360
598053,323
598054,309
598055,275
598056,369
598057,292
598058,258
598059,362
598060,228
598061,270
598062,231
598063,285
598064,241
598065,362
598066,333
598067,303
598068,318
598069,384
598070,249
598071,316
598072,306
598073,188
598074,262
598075,336
598076,267
598077,334
598078,273
729284,285
729286,291
729288,411
729290,268
729292,231
729294,333
729296,384
729298,261
729300,314
729302,273
729304,298
729306,364
729308,283
729310,141
729312,241
729314,246
729316,291
729318,251
729322,329
733976,262
733978,338
733980,308
733982,313
733984,330
733986,359
733988,355
733990,321
733992,418
733994,236
733996,364
733998,187
734000,317
734002,299
734004,381
734006,317
734008,297
734010,356
734012,416
734014,283
734016,340
734018,280
734020,288
734022,331
734024,329
734026,321
734028,310
734030,315
734032,360
734034,374
734036,331
734038,342
734040,314
734042,321
734044,234
734046,384
734048,298
734050,349
734052,428
734054,399
829710,338
829712,299
829714,298
829716,373
