"match_id","maximum_runs","player_name"
335987,24,"CL White"
335988,25,"JR Hopes"
335989,13,"SR Watson"
335989,13,"SK Trivedi"
335990,20,"R Vinay Kumar"
335991,20,"DJ Hussey"
335992,17,"SR Watson"
335993,30,"A Symonds"
335994,21,"P Amarnath"
335995,22,"WPUJC Vaas"
335996,22,"VRV Singh"
335997,26,"P Kumar"
335998,18,"I Sharma"
335999,23,"SM Pollock"
336000,15,"S Sreesanth"
336001,24,"DW Steyn"
336002,16,"Mohammad Hafeez"
336003,19,"SB Joshi"
336003,19,"V Sehwag"
336004,19,"D Kalyankrishna"
336005,16,"SK Trivedi"
336005,16,"LR Shukla"
336006,19,"Joginder Sharma"
336007,21,"LPC Silva"
336008,21,"I Sharma"
336009,22,"Mohammad Asif"
336010,17,"SK Warne"
336011,14,"A Kumble"
336012,21,"Joginder Sharma"
336013,17,"DS Kulkarni"
336014,23,"V Sehwag"
336015,15,"A Kumble"
336015,15,"LR Shukla"
336015,15,"Umar Gul"
336015,15,"M Kartik"
336016,17,"PP Ojha"
336017,18,"DS Kulkarni"
336018,19,"MS Gony"
336019,22,"M Kartik"
336020,27,"SK Warne"
336021,21,"DW Steyn"
336022,13,"VY Mahesh"
336023,26,"CK Kapugedera"
336024,25,"Pankaj Singh"
336025,20,"RP Singh"
336026,23,"Shoaib Akhtar"
336027,22,"V Sehwag"
336027,22,"VRV Singh"
336028,19,"SK Trivedi"
336029,19,"DNT Zoysa"
336030,16,"M Muralitharan"
336031,24,"R Bhatia"
336032,17,"SC Ganguly"
336033,24,"IK Pathan"
336034,20,"DW Steyn"
336036,21,"Gagandeep Singh"
336037,19,"SM Pollock"
336038,20,"L Balaji"
336039,16,"A Kumble"
336040,18,"PP Chawla"
336041,25,"SR Watson"
336042,15,"M Ntini"
336043,21,"VY Mahesh"
336044,16,"PP Chawla"
336045,15,"M Muralitharan"
336045,15,"Sohail Tanvir"
392186,22,"A Flintoff"
392187,16,"MM Patel"
392188,19,"YA Abdulla"
392189,17,"AB Agarkar"
392190,20,"JH Kallis"
392191,17,"IK Pathan"
392193,20,"A Kumble"
392194,24,"AM Salvi"
392196,19,"P Kumar"
392197,19,"Harmeet Singh"
392199,19,"JH Kallis"
392200,12,"YK Pathan"
392200,12,"SK Warne"
392201,20,"MS Gony"
392201,20,"Shoaib Ahmed"
392202,17,"BAW Mendis"
392203,19,"DL Vettori"
392204,15,"AB Agarkar"
392205,15,"JP Duminy"
392206,20,"A Mishra"
392207,24,"AD Mascarenhas"
392207,24,"Kamran Khan"
392208,16,"LR Shukla"
392208,16,"AB Dinda"
392209,21,"YA Abdulla"
392210,17,"Y Venugopal Rao"
392211,17,"PJ Sangwan"
392212,22,"AB Dinda"
392213,18,"RE van der Merwe"
392214,19,"JA Morkel"
392214,19,"TL Suman"
392215,23,"S Sreesanth"
392216,21,"DP Nannes"
392217,15,"Harbhajan Singh"
392217,15,"ST Jayasuriya"
392218,16,"P Kumar"
392219,24,"VRV Singh"
392220,19,"SR Tendulkar"
392221,20,"A Symonds"
392221,20,"S Sreesanth"
392222,20,"SM Harwood"
392223,16,"SL Malinga"
392224,15,"SS Sarkar"
392225,17,"SK Trivedi"
392226,20,"B Akhil"
392226,20,"JH Kallis"
392227,21,"S Sreesanth"
392228,24,"Shoaib Ahmed"
392229,16,"R Vinay Kumar"
392230,19,"DJ Bravo"
392231,15,"PJ Sangwan"
392232,18,"JA Morkel"
392233,28,"Harmeet Singh"
392233,28,"RP Singh"
392234,18,"IK Pathan"
392234,18,"WA Mota"
392235,25,"MM Patel"
392236,22,"S Tyagi"
392237,14,"Y Nagar"
392237,14,"DL Vettori"
392238,22,"BJ Hodge"
